"N","Author","Year","Phase1.m.ori","Phase1.m","Experimental.setting","rr","var","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder"
"79","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.472673858","0.074375775","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"80","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.200201982","0.135090207","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"81","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.425832411","0.093324802","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"82","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.322398509","0.04604857","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"83","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.564314309","0.223167052","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"84","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.280301965","0.051944978","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"85","Rutten et al. 2016","2016","Field","Field","Greenhouse","0.119188517","0.039299839","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"86","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.128381167","0.032140409","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"87","Rutten et al. 2016","2016","Field","Field","Greenhouse","0.506561225","0.05782572","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"88","Rutten et al. 2016","2016","Field","Field","Greenhouse","0.021053409","0.061944612","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"89","Rutten et al. 2016","2016","Field","Field","Greenhouse","0.205443974","0.090741139","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"90","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.02684725","0.052284714","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"91","Rutten et al. 2016","2016","Field","Field","Greenhouse","0.005361943","0.081348111","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"92","Rutten et al. 2016","2016","Field","Field","Greenhouse","0.52582879","0.04295878","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"93","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.457581109","0.060040415","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"94","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.282232468","0.085412212","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"95","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.551735527","0.180793951","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"96","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.673344553","0.036737324","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"97","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.331645196","0.046381031","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"98","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.573993343","0.029871797","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"99","Rutten et al. 2016","2016","Field","Field","Greenhouse","0.28483712","0.0413613","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"100","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.432864082","0.071262141","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"101","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.133531393","0.079030612","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"102","Gomez-Aparicio et al. 2017","2017","Field","Field","Greenhouse","0.026526754","0.034237777","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"103","Gomez-Aparicio et al. 2017","2017","Field","Field","Greenhouse","0.122374713","0.036931275","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"104","Gomez-Aparicio et al. 2017","2017","Field","Field","Greenhouse","0.035718083","0.027157046","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"105","Gomez-Aparicio et al. 2017","2017","Field","Field","Greenhouse","0.230848598","0.028519833","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"106","Gomez-Aparicio et al. 2017","2017","Field","Field","Greenhouse","1.176273098","0.030583659","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"107","Gomez-Aparicio et al. 2017","2017","Field","Field","Greenhouse","-0.353809156","0.053322676","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"108","Gomez-Aparicio et al. 2017","2017","Field","Field","Greenhouse","-0.279584862","0.021864296","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"109","Gomez-Aparicio et al. 2017","2017","Field","Field","Greenhouse","-0.327212911","0.031716849","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"110","Teste et al. 2017","2017","Field","Field","Greenhouse","-0.065027065","0.125431297","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"111","Teste et al. 2017","2017","Field","Field","Greenhouse","0.425205188","0.158424522","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"112","Teste et al. 2017","2017","Field","Field","Greenhouse","-0.539470245","0.026699751","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"113","Teste et al. 2017","2017","Field","Field","Greenhouse","0.329957556","0.05320069","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"114","Teste et al. 2017","2017","Field","Field","Greenhouse","-0.403905726","0.02986771","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"115","Teste et al. 2017","2017","Field","Field","Greenhouse","-0.089703716","0.046178866","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
